yr_team,dead_cap,defense,injured,offense,specialty,w,l,playoff
2019_carolina-panthers,0.078089220036283,0.37977918253118365,0.2871548340958628,0.23854603857182596,0.016430724764844567,5,11,no
2019_chicago-bears,0.05590992684798181,0.4301124093628701,0.17163035329824508,0.3264054442352628,0.015941866255640216,8,8,no
2019_cincinnati-bengals,0.07662144258215864,0.2695183478944363,0.19538372784787067,0.427342047553842,0.031134434121692436,2,14,no
2019_cleveland-browns,0.1570018001208641,0.32842200396491184,0.08350317808122594,0.42200953885458337,0.009063478978414776,6,10,no
2019_dallas-cowboys,0.05568188347807139,0.31346902619125233,0.12294730378651302,0.4882015819073297,0.01970020463683357,8,8,no
2019_denver-broncos,0.18821250720566748,0.3433936787536941,0.2055544364872683,0.23111102890728263,0.03172834864608756,7,9,no
2019_detroit-lions,0.08891619713207716,0.2912003563188128,0.3825507925723605,0.1989401125329299,0.038392541443819636,3,12,no
2019_green-bay-packers,0.09644570560652488,0.2828234865795574,0.04749215072390456,0.5415615285180213,0.03167712857199187,13,3,yes
2019_houston-texans,0.1418009481539621,0.382217494745663,0.1270116593432471,0.3235626091118779,0.025407288645249906,10,6,yes
2019_indianapolis-colts,0.12493255142789632,0.35849231306973595,0.14883079970474578,0.3438236839234187,0.023920651874203204,7,9,no
2019_jacksonville-jaguars,0.18844864390571003,0.32160754691409515,0.1690631814105701,0.3042535042998481,0.016627123469776656,6,10,no
2019_kansas-city-chiefs,0.12051175465723389,0.29650759889750183,0.0639786965555219,0.48654068664816486,0.03246126324157756,12,4,yes
2019_los-angeles-chargers,0.048807336870880985,0.38376813289835726,0.10757164343865291,0.4514076749738534,0.008445211818255404,5,11,no
2019_los-angeles-rams,0.07349290008454382,0.3915169085683314,0.02798239668732922,0.4744142078025707,0.03259358685722487,9,7,no
2019_miami-dolphins,0.3835556518519283,0.11663494618293789,0.2649787632106586,0.2244608148278072,0.010369823926668019,5,11,no
2019_minnesota-vikings,0.042161839286064394,0.46938220238665324,0.024592513868259402,0.4457866352218054,0.01807680923721758,10,6,yes
2019_new-england-patriots,0.1421045214812171,0.4031385222105475,0.062095166172683715,0.38368731978120657,0.008974470354345102,12,4,yes
2019_new-orleans-saints,0.1143011411015473,0.3022744797930301,0.07100182999794713,0.4764996015936297,0.03592294751384576,13,3,yes
2019_new-york-giants,0.2825086362474725,0.2373040384959024,0.07555163164364324,0.3959254837546408,0.008710209858340996,4,12,no
2019_new-york-jets,0.1453149762731177,0.2374793156332665,0.3419183402908631,0.26490010516375395,0.010387262638998718,7,9,no
2019_oakland-raiders,0.13800303803404965,0.2521754173772104,0.16723165903416445,0.4329961348720653,0.009593750682510217,7,9,no
2019_philadelphia-eagles,0.12352554270612481,0.3371149157514472,0.18016556672263168,0.34816949646533657,0.011024478354459744,9,7,yes
2019_pittsburgh-steelers,0.1672416535639962,0.35271116443962586,0.2026743262976803,0.24607610769886454,0.03129674799983309,8,8,no
2019_san-francisco-49ers,0.1168648757602411,0.34796795392685076,0.18015756205675024,0.32969604041677236,0.025313567839385508,13,3,yes
2019_seattle-seahawks,0.14519564152512623,0.3402228633125654,0.13814982010427182,0.3546623675439244,0.021769307514112164,11,5,yes
2019_tampa-bay-buccaneers,0.059334243562090196,0.3407558815984444,0.12042921121578107,0.45950545144326754,0.019975212180416806,7,9,no
